opening_date(kor),closing_date(kor),opening_price,closing_price,high_price,low_price,trade_price,trade_volume
2019-03-07 6:00,2019-03-07 7:00,4252000,4255000,4260000,4252000,4254000,56.32230768
2019-03-07 7:00,2019-03-07 8:00,4255000,4264000,4269000,4252000,4263000,110.924852
2019-03-07 8:00,2019-03-07 9:00,4264000,4260000,4269000,4256000,4260000,181.9797799
2019-03-07 9:00,2019-03-07 10:00,4260000,4273000,4276000,4258000,4273000,301.1013969
2019-03-07 10:00,2019-03-07 11:00,4273000,4288000,4291000,4272000,4288000,278.8119624
2019-03-07 11:00,2019-03-07 12:00,4288000,4279000,4289000,4275000,4279000,242.6784456
2019-03-07 12:00,2019-03-07 13:00,4279000,4286000,4287000,4275000,4284000,210.1638859
2019-03-07 13:00,2019-03-07 14:00,4286000,4299000,4300000,4283000,4299000,333.2221868
2019-03-07 14:00,2019-03-07 15:00,4299000,4292000,4306000,4280000,4292000,305.9016895
2019-03-07 15:00,2019-03-07 16:00,4292000,4295000,4298000,4277000,4296000,300.9385923
2019-03-07 16:00,2019-03-07 17:00,4295000,4290000,4300000,4285000,4289000,315.1070344
2019-03-07 17:00,2019-03-07 18:00,4290000,4272000,4292000,4271000,4272000,337.4147204
2019-03-07 18:00,2019-03-07 19:00,4272000,4279000,4279000,4266000,4279000,337.4982205
2019-03-07 19:00,2019-03-07 20:00,4279000,4277000,4280000,4265000,4277000,312.8695057
2019-03-07 20:00,2019-03-07 21:00,4277000,4282000,4289000,4274000,4285000,234.4491978
2019-03-07 21:00,2019-03-07 22:00,4282000,4289000,4298000,4280000,4289000,245.3878248
2019-03-07 22:00,2019-03-07 23:00,4289000,4286000,4292000,4278000,4289000,258.7506436
2019-03-07 23:00,2019-03-08 0:00,4286000,4301000,4301000,4273000,4301000,256.5928472
2019-03-08 0:00,2019-03-08 1:00,4301000,4294000,4308000,4289000,4295000,184.0339347
2019-03-08 1:00,2019-03-08 2:00,4294000,4296000,4305000,4293000,4298000,120.5982428
2019-03-08 2:00,2019-03-08 3:00,4296000,4291000,4302000,4291000,4292000,94.85348817
2019-03-08 3:00,2019-03-08 4:00,4291000,4295000,4301000,4287000,4295000,50.3382299
2019-03-08 4:00,2019-03-08 5:00,4295000,4296000,4300000,4292000,4296000,36.16149018
2019-03-08 5:00,2019-03-08 6:00,4296000,4296000,4304000,4289000,4302000,52.40316228
2019-03-08 6:00,2019-03-08 7:00,4296000,4293000,4303000,4289000,4293000,56.81852405
2019-03-08 7:00,2019-03-08 8:00,4293000,4290000,4302000,4285000,4289000,109.7855994
2019-03-08 8:00,2019-03-08 9:00,4290000,4289000,4294000,4279000,4289000,153.0731124
2019-03-08 9:00,2019-03-08 10:00,4289000,4305000,4306000,4281000,4305000,471.7203666
2019-03-08 10:00,2019-03-08 11:00,4305000,4292000,4310000,4285000,4292000,329.5200396
2019-03-08 11:00,2019-03-08 12:00,4292000,4303000,4311000,4288000,4303000,460.5548736
2019-03-08 12:00,2019-03-08 13:00,4303000,4307000,4313000,4295000,4312000,374.4051098
2019-03-08 13:00,2019-03-08 14:00,4307000,4309000,4324000,4307000,4308000,515.9733907
2019-03-08 14:00,2019-03-08 15:00,4309000,4333000,4350000,4302000,4337000,1026.746242
2019-03-08 15:00,2019-03-08 16:00,4333000,4344000,4358000,4324000,4344000,832.569222
2019-03-08 16:00,2019-03-08 17:00,4344000,4327000,4348000,4323000,4327000,566.7157326
2019-03-08 17:00,2019-03-08 18:00,4327000,4316000,4327000,4310000,4313000,379.1845139
2019-03-08 18:00,2019-03-08 19:00,4316000,4306000,4316000,4285000,4306000,1121.575345
2019-03-08 19:00,2019-03-08 20:00,4306000,4334000,4336000,4302000,4334000,477.2853697
2019-03-08 20:00,2019-03-08 21:00,4334000,4317000,4335000,4317000,4317000,262.0748313
2019-03-08 21:00,2019-03-08 22:00,4317000,4325000,4335000,4313000,4326000,364.0158425
2019-03-08 22:00,2019-03-08 23:00,4325000,4337000,4340000,4323000,4336000,323.8352202
2019-03-08 23:00,2019-03-09 0:00,4337000,4333000,4339000,4329000,4333000,190.2980383
2019-03-09 0:00,2019-03-09 1:00,4333000,4334000,4340000,4327000,4333000,205.6641462
2019-03-09 1:00,2019-03-09 2:00,4334000,4328000,4338000,4322000,4328000,160.2507709
2019-03-09 2:00,2019-03-09 3:00,4328000,4335000,4343000,4327000,4337000,120.0044983
2019-03-09 3:00,2019-03-09 4:00,4335000,4341000,4344000,4322000,4342000,79.31174442
2019-03-09 4:00,2019-03-09 5:00,4341000,4341000,4344000,4332000,4341000,48.81435339
2019-03-09 5:00,2019-03-09 6:00,4341000,4337000,4348000,4329000,4337000,80.22228624
2019-03-09 6:00,2019-03-09 7:00,4337000,4317000,4341000,4315000,4317000,94.44945524
2019-03-09 7:00,2019-03-09 8:00,4317000,4294000,4317000,4234000,4291000,812.6735384
2019-03-09 8:00,2019-03-09 9:00,4294000,4310000,4315000,4288000,4310000,714.9435135
2019-03-09 9:00,2019-03-09 10:00,4310000,4318000,4328000,4295000,4318000,776.4678109
2019-03-09 10:00,2019-03-09 11:00,4318000,4310000,4324000,4300000,4311000,644.3621015
2019-03-09 11:00,2019-03-09 12:00,4310000,4318000,4324000,4300000,4317000,441.7563393
2019-03-09 12:00,2019-03-09 13:00,4318000,4305000,4320000,4302000,4305000,409.2322773
2019-03-09 13:00,2019-03-09 14:00,4305000,4307000,4314000,4287000,4307000,520.2495581
2019-03-09 14:00,2019-03-09 15:00,4307000,4314000,4317000,4299000,4314000,316.54297
2019-03-09 15:00,2019-03-09 16:00,4314000,4329000,4331000,4311000,4330000,330.4527494
2019-03-09 16:00,2019-03-09 17:00,4329000,4332000,4358000,4326000,4332000,282.5076617
2019-03-09 17:00,2019-03-09 18:00,4332000,4327000,4355000,4324000,4327000,465.4759361
2019-03-09 18:00,2019-03-09 19:00,4327000,4339000,4340000,4327000,4339000,212.3245434
